pc_time,line
1790312475.568370,"CSI_DATA,20,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3600312,0,83,0,128,1,""[83,-80,4,0,-17,-35,-18,-32,-17,-28,-16,-24,-14,-19,-11,-14,-7,-10,-3,-6,2,-3,8,-1,13,0,18,0,22,0,25,0,27,0,28,-1,28,-2,28,-2,25,-1,22,0,18,2,14,3,9,4,4,5,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,12,-10,10,-6,7,-1,2,3,-3,7,-8,11,-13,15,-18,18,-21,20,-24,21,-25,23,-25,23,-24,23,-22,23,-20,21,-16,19,-13,15,-9,11,-6,5,-4,-1,-3,-7,-2,-14,-3,-20,-5,-25,-7,-30,-9,-33]"""
1790312475.584690,"CSI_DATA,21,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3614403,0,83,0,128,1,""[83,-80,4,0,29,23,28,20,26,17,23,13,19,10,14,7,9,5,3,3,-3,3,-9,3,-14,4,-19,6,-22,8,-24,9,-26,11,-27,12,-27,12,-26,11,-24,9,-21,6,-17,4,-13,0,-9,-3,-4,-5,0,-7,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-7,16,-7,12,-7,6,-6,0,-4,-6,-1,-12,2,-18,5,-23,8,-27,10,-30,10,-32,10,-33,9,-33,8,-32,6,-30,4,-26,3,-21,2,-16,2,-10,2,-3,4,4,7,10,10,15,14,20,18,23,22,25]"""
1790312475.588306,"CSI_DATA,22,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3620276,0,83,0,128,1,""[83,-80,4,0,29,-22,27,-23,23,-23,19,-21,15,-17,10,-13,7,-8,4,-3,2,3,1,9,1,14,2,18,3,22,4,26,5,27,5,27,5,27,5,26,3,23,2,20,0,16,-2,12,-4,7,-6,2,-7,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,11,10,10,4,8,-1,4,-6,1,-11,-4,-16,-8,-20,-12,-23,-15,-26,-18,-28,-20,-29,-20,-29,-19,-29,-17,-27,-15,-24,-12,-20,-10,-15,-7,-9,-5,-2,-4,5,-4,12,-5,18,-7,23,-10,27,-12,30,-15]"""
1790312475.601234,"CSI_DATA,23,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3633338,0,83,0,128,1,""[83,-80,4,0,12,35,13,33,13,29,13,25,11,20,9,14,5,9,1,5,-4,2,-9,-1,-14,-3,-19,-3,-23,-3,-26,-4,-28,-4,-29,-2,-30,-2,-29,-2,-26,-3,-23,-4,-19,-5,-14,-6,-9,-6,-4,-6,0,-6,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,-14,8,-12,4,-8,0,-3,-4,2,-8,8,-12,13,-15,18,-17,22,-19,25,-20,26,-21,27,-22,26,-22,23,-22,21,-21,17,-18,13,-15,9,-11,6,-6,3,0,1,6,0,13,0,19,1,25,3,30,5,33]"""
1790312475.608195,"CSI_DATA,24,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3640200,0,83,0,128,1,""[83,-80,4,0,32,-26,29,-27,25,-26,20,-24,15,-20,11,-15,7,-9,4,-3,2,3,1,10,2,16,2,21,4,25,6,28,7,30,7,30,7,30,7,28,5,26,3,22,1,18,-2,13,-4,8,-6,2,-8,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,15,11,11,11,5,9,-1,5,-7,1,-12,-3,-17,-8,-22,-12,-26,-16,-29,-19,-31,-21,-33,-22,-33,-21,-32,-18,-30,-16,-27,-13,-22,-10,-16,-7,-10,-5,-2,-4,5,-5,13,-6,20,-9,26,-11,30,-14,32,-17]"""
1790312475.627331,"CSI_DATA,25,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3650182,0,83,0,128,1,""[83,-80,4,0,-13,34,-10,33,-8,31,-6,27,-4,22,-2,16,-2,10,-3,4,-5,-2,-7,-8,-10,-12,-13,-16,-16,-18,-18,-21,-20,-21,-20,-21,-20,-20,-19,-20,-17,-18,-14,-17,-10,-14,-6,-12,-1,-9,3,-5,6,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-19,-1,-15,-3,-9,-4,-3,-5,3,-5,10,-5,16,-4,22,-3,27,-2,30,-2,33,-1,34,-1,34,-2,32,-3,29,-4,25,-4,20,-4,14,-3,8,-1,2,2,-3,6,-8,10,-12,15,-15,20,-16,25,-17,28]"""
1790312475.628731,"CSI_DATA,26,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3660670,0,83,0,128,1,""[83,-80,4,0,-30,-24,-29,-21,-27,-18,-24,-15,-20,-11,-15,-8,-9,-6,-4,-4,2,-4,8,-4,13,-5,18,-7,21,-9,24,-10,25,-11,26,-12,26,-13,25,-12,23,-10,20,-7,16,-4,12,-1,7,2,3,4,-1,6,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,5,-17,6,-13,6,-8,5,-1,2,5,0,11,-3,17,-6,22,-8,26,-10,29,-11,31,-11,32,-10,32,-9,31,-7,29,-5,25,-4,20,-3,14,-3,8,-3,2,-5,-5,-8,-11,-11,-16,-15,-21,-19,-24,-22,-26]"""
1790312475.638106,"CSI_DATA,27,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3670249,0,83,0,128,1,""[83,-80,4,0,27,25,27,22,25,18,22,15,18,11,14,8,8,5,2,3,-4,2,-9,2,-15,3,-19,5,-23,6,-25,8,-26,9,-28,10,-28,10,-26,9,-24,8,-21,5,-17,2,-13,-1,-8,-3,-3,-5,0,-7,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-7,16,-8,12,-7,6,-6,0,-3,-6,0,-12,3,-17,6,-22,9,-27,10,-30,11,-32,11,-33,10,-33,9,-32,7,-29,5,-26,4,-21,3,-15,2,-9,2,-3,4,4,6,10,10,16,13,21,17,24,20,26]"""
1790312475.649354,"CSI_DATA,28,98:77:e7:2d:f8:74,-50,11,1,4,0,1,1,0,1,0,0,-96,0,1,0,3681137,0,83,0,128,1,""[83,-80,4,0,35,-5,33,-6,30,-8,26,-8,21,-7,15,-6,10,-3,5,-1,1,3,-3,7,-6,11,-8,15,-10,19,-10,22,-10,24,-11,25,-11,24,-11,23,-11,21,-11,18,-10,14,-9,10,-8,5,-7,1,-5,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,12,4,10,0,6,-4,1,-7,-4,-9,-9,-11,-14,-13,-19,-15,-23,-16,-26,-17,-27,-18,-28,-19,-27,-18,-25,-17,-22,-16,-19,-13,-15,-9,-11,-5,-7,0,-3,6,-1,12,1,18,2,23,2,28,2,31,1]"""
1790312475.658283,"CSI_DATA,29,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3690348,0,83,0,128,1,""[83,-80,4,0,-3,-36,-5,-35,-6,-32,-7,-27,-6,-22,-5,-17,-3,-11,0,-6,3,-2,7,2,11,5,15,7,19,9,22,10,24,10,25,10,25,10,24,10,22,10,19,9,15,9,10,8,5,7,1,6,-3,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2,13,-6,11,-3,6,1,1,4,-5,6,-11,8,-16,10,-22,11,-26,12,-29,13,-30,14,-31,14,-30,14,-28,14,-25,14,-21,12,-17,10,-12,7,-8,3,-3,-2,0,-7,2,-13,4,-19,4,-25,4,-30,3,-33]"""
